'Copepoda unidentified'
'all calanoida'
'all cyclopoida'
'all harpacticoida'
'all monstrilloida'
'all poecilostomatoida'
'chaetognatha'
'cyanobacteria'
'detritus'
'diatoms'
'dinoflagelates'
'gelatinous carnivorous'
'filter feeders'
'large crustracean'
'other large'
'other small'
'other unidentified'
'pteropoda'
'rhizaria'
'small grazers'
